name,revocationPeriod.daysAfterBirth,revocationPeriod.specialCircumstances,knowyourrights.text,knowyourrights.link
Alabama,5,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/al-alabama
Alaska,10,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/ak-alaska
Arizona,0,Your consent is irrevocable once you give it.,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/az-arizona
Arkansas,10,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/ar-arkansas
California,30,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/ca-california
Colorado,0,Your consent is irrevocable once you give it.,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/co-colorado
Connecticut,0,Your consent is irrevocable once you give it.,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/ct-connecticut
Delaware,14,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/de-delaware
District of Columbia,14,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/dc-district-of-columbia
Florida,0,,Your consent is irrevocable once you give it.,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/fl-florida
Georgia,4,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/ga-georgia
Hawaii,10,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/hi-hawaii
Idaho,0,Your consent is irrevocable once you give it.,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/id-idaho
Illinois,3,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/il-illinois
Indiana,30,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/in-indiana
Iowa,3,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/ia-iowa
Kansas,0,Your consent is irrevocable once you give it.,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/ks-kansas
Kentucky,20,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/ky-kentucky
Louisiana,0,Your consent is irrevocable once you give it.,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/la-louisiana
Maine,3,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/me-maine
Maryland,30,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/md-maryland
Massachusetts,4,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/ma-massachusetts
Michigan,0,Your consent is irrevocable once you give it.,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/mi-michigan
Minnesota,10,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/mn-minnesota
Mississippi,0,Your consent is irrevocable once you give it.,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/ms-mississippi
Missouri,0,Your consent is irrevocable once you give it.,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/mo-missouri
Montana,0,Your consent is irrevocable once you give it.,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/mt-montana
Nebraska,0,Your consent is irrevocable once you give it.,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/ne-nebraska
Nevada,0,Your consent is irrevocable once you give it.,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/nv-nevada
New Hampshire,4,,Know your rights,https://www.catholicmothersfortruth.org/birthparent-rights/nh-new-hampshire
